#Parameters = {Epsilon=3; a=8.636; b=4.318; d_new=2; d_odj=74.4; h=1; l=26; l_old=26; tg_delta=0.01}
#"Frequency / GHz"	"S1,2 [Re]"	"S1,2 [Im]"
#-----------------------------------------
22.234000000000	-0.39709131577114	-0.56685002449213
22.240000000000	-0.40009223797042	-0.56492135571545
22.246000000000	-0.40308272442772	-0.56297735923244
22.252000000000	-0.40606269947610	-0.56101809728339
22.258000000000	-0.40903208786564	-0.55904363245431
22.264000000000	-0.41199081476451	-0.55705402767379
22.270000000000	-0.41493880576003	-0.55504934621000
22.276000000000	-0.41787598685971	-0.55302965166761
22.282000000000	-0.42080228449221	-0.55099500798471
22.288000000000	-0.42371762550834	-0.54894547942978
22.294000000000	-0.42662193718200	-0.54688113059866
22.300000000000	-0.42951514721115	-0.54480202641148
22.306000000000	-0.43239718371868	-0.54270823210966
22.312000000000	-0.43526797525331	-0.54059981325286
22.318000000000	-0.43812745079047	-0.53847683571599
22.324000000000	-0.44097553973313	-0.53633936568615
22.330000000000	-0.44381217191263	-0.53418746965971
22.336000000000	-0.44663727758950	-0.53202121443920
22.342000000000	-0.44945078745423	-0.52984066713042
22.348000000000	-0.45225263262801	-0.52764589513942
22.354000000000	-0.45504274466353	-0.52543696616947
22.360000000000	-0.45782105554563	-0.52321394821821
22.366000000000	-0.46058749769207	-0.52097690957455
22.372000000000	-0.46334200395417	-0.51872591881584
22.378000000000	-0.46608450761746	-0.51646104480484
22.384000000000	-0.46881494240239	-0.51418235668682
22.390000000000	-0.47153324246487	-0.51188992388661
22.396000000000	-0.47423934239693	-0.50958381610570
22.402000000000	-0.47693317722730	-0.50726410331930
22.408000000000	-0.47961468242195	-0.50493085577346
22.414000000000	-0.48228379388465	-0.50258414398215
22.420000000000	-0.48494044795752	-0.50022403872437
22.426000000000	-0.48758458142150	-0.49785061104131
22.432000000000	-0.49021613149690	-0.49546393223339
22.438000000000	-0.49283503584382	-0.49306407385750
22.444000000000	-0.49544123256263	-0.49065110772407
22.450000000000	-0.49803466019442	-0.48822510589424
22.456000000000	-0.50061525772141	-0.48578614067704
22.462000000000	-0.50318296456736	-0.48333428462655
22.468000000000	-0.50573772059795	-0.48086961053907
22.474000000000	-0.50827946612117	-0.47839219145033
22.480000000000	-0.51080814188766	-0.47590210063264
22.486000000000	-0.51332368909106	-0.47339941159216
22.492000000000	-0.51582604936830	-0.47088419806609
22.498000000000	-0.51831516479997	-0.46835653401985
22.504000000000	-0.52079097791055	-0.46581649364439
22.510000000000	-0.52325343166871	-0.46326415135339
22.516000000000	-0.52570246948756	-0.46069958178051
22.522000000000	-0.52813803522490	-0.45812285977665
22.528000000000	-0.53056007318348	-0.45553406040726
22.534000000000	-0.53296852811112	-0.45293325894957
22.540000000000	-0.53536334520103	-0.45032053088990
22.546000000000	-0.53774447009189	-0.44769595192097
22.552000000000	-0.54011184886808	-0.44505959793921
22.558000000000	-0.54246542805981	-0.44241154504204
22.564000000000	-0.54480515464327	-0.43975186952526
22.570000000000	-0.54713097604075	-0.43708064788033
22.576000000000	-0.54944284012075	-0.43439795679176
22.582000000000	-0.55174069519808	-0.43170387313443
22.588000000000	-0.55402449003397	-0.42899847397099
22.594000000000	-0.55629417383609	-0.42628183654922
22.600000000000	-0.55854969625864	-0.42355403829943
22.606000000000	-0.56079100740241	-0.42081515683181
22.612000000000	-0.56301805781477	-0.41806526993392
22.618000000000	-0.56523079848972	-0.41530445556802
22.624000000000	-0.56742918086789	-0.41253279186853
22.630000000000	-0.56961315683652	-0.40975035713951
22.636000000000	-0.57178267872947	-0.40695722985200
22.642000000000	-0.57393769932715	-0.40415348864159
22.648000000000	-0.57607817185652	-0.40133921230581
22.654000000000	-0.57820404999100	-0.39851447980162
22.660000000000	-0.58031528785040	-0.39567937024290
22.666000000000	-0.58241184000089	-0.39283396289795
22.672000000000	-0.58449366145484	-0.38997833718701
22.678000000000	-0.58656070767080	-0.38711257267971
22.684000000000	-0.58861293455330	-0.38423674909265
22.690000000000	-0.59065029845279	-0.38135094628695
22.696000000000	-0.59267275616548	-0.37845524426571
22.702000000000	-0.59468026493320	-0.37554972317166
22.708000000000	-0.59667278244323	-0.37263446328465
22.714000000000	-0.59865026682816	-0.36970954501925
22.720000000000	-0.60061267666568	-0.36677504892236
22.726000000000	-0.60255997097844	-0.36383105567075
22.732000000000	-0.60449210923379	-0.36087764606868
