#Parameters = {Epsilon=3; a=8.636; b=4.318; d_new=2; d_odj=74.4; h=1; l=26; l_old=26; tg_delta=0.01}
#"Frequency / GHz"	"S2,1 [Re]"	"S2,1 [Im]"
#-----------------------------------------
22.378000000000	-0.67484899819703	-0.16855298654039
22.384000000000	-0.67590989953841	-0.16486817378961
22.390000000000	-0.67695022702639	-0.16117790579526
22.396000000000	-0.67796995890522	-0.15748229997913
22.402000000000	-0.67896907410940	-0.15378147378012
22.408000000000	-0.67994755226252	-0.15007554465026
22.414000000000	-0.68090537367610	-0.14636463005066
22.420000000000	-0.68184251934839	-0.14264884744751
22.426000000000	-0.68275897096322	-0.13892831430809
22.432000000000	-0.68365471088873	-0.13520314809678
22.438000000000	-0.68452972217617	-0.13147346627117
22.444000000000	-0.68538398855861	-0.12773938627811
22.450000000000	-0.68621749444967	-0.12400102554976
22.456000000000	-0.68703022494225	-0.12025850149980
22.462000000000	-0.68782216580715	-0.11651193151949
22.468000000000	-0.68859330349183	-0.11276143297386
22.474000000000	-0.68934362511897	-0.10900712319790
22.480000000000	-0.69007311848514	-0.10524911949273
22.486000000000	-0.69078177205941	-0.10148753912186
22.492000000000	-0.69146957498196	-0.097722499307381
22.498000000000	-0.69213651706263	-0.093954117226277
22.504000000000	-0.69278258877948	-0.090182510006680
22.510000000000	-0.69340778127738	-0.086407794724184
22.516000000000	-0.69401208636647	-0.082630088398165
22.522000000000	-0.69459549652073	-0.078849507988123
22.528000000000	-0.69515800487646	-0.075066170390061
22.534000000000	-0.69569960523075	-0.071280192432856
22.540000000000	-0.69622029203993	-0.067491690874678
22.546000000000	-0.69672006041807	-0.063700782399411
22.552000000000	-0.69719890613538	-0.059907583613102
22.558000000000	-0.69765682561662	-0.056112211040434
22.564000000000	-0.69809381593954	-0.052314781121210
22.570000000000	-0.69850987483323	-0.048515410206866
22.576000000000	-0.69890500067656	-0.044714214557003
22.582000000000	-0.69927919249647	-0.040911310335935
22.588000000000	-0.69963244996635	-0.037106813609260
22.594000000000	-0.69996477340441	-0.033300840340455
22.600000000000	-0.70027616377196	-0.029493506387484
22.606000000000	-0.70056662267171	-0.025684927499435
22.612000000000	-0.70083615234612	-0.021875219313170
22.618000000000	-0.70108475567566	-0.018064497349991
22.624000000000	-0.70131243617704	-0.014252877012349
22.630000000000	-0.70151919800154	-0.010440473580542
22.636000000000	-0.70170489841365	-0.0066419473674488
22.642000000000	-0.70186984814267	-0.0028428751878105
22.648000000000	-0.70201405326086	0.00095662935893078
22.654000000000	-0.70213752045851	0.0047564528078774
22.660000000000	-0.70224025704210	0.0085564818318037
22.666000000000	-0.70232227093253	0.012356603244254
22.672000000000	-0.70238357066331	0.016156704002629
22.678000000000	-0.70242416537877	0.019956671211249
22.684000000000	-0.70244406483219	0.023756392124399
22.690000000000	-0.70244327938400	0.027555754149352
22.696000000000	-0.70242181999991	0.031354644849376
22.702000000000	-0.70237969824908	0.035152951946722
22.708000000000	-0.70231692630223	0.038950563325586
22.714000000000	-0.70223351692981	0.042747367035070
22.720000000000	-0.70212948350005	0.046543251292093
22.726000000000	-0.70200483997713	0.050338104484318
22.732000000000	-0.70185960091924	0.054131815173030
22.738000000000	-0.70169378147670	0.057924272096020
22.744000000000	-0.70150739739002	0.061715364170430
22.750000000000	-0.70130046498799	0.065504980495595
22.756000000000	-0.70107300118574	0.069293010355853
22.762000000000	-0.70082502348279	0.073079343223348
22.768000000000	-0.70055654996112	0.076863868760806
22.774000000000	-0.70026759928320	0.080646476824298
22.780000000000	-0.69995819069002	0.084427057465982
22.786000000000	-0.69962834399914	0.088205500936827
22.792000000000	-0.69927807960267	0.091981697689319
22.798000000000	-0.69890741846533	0.095755538380153
22.804000000000	-0.69851638212243	0.099526913872893
22.810000000000	-0.69810499267788	0.10329571524064
22.816000000000	-0.69767327280217	0.10706183376865
22.822000000000	-0.69722124573036	0.11082516095696
22.828000000000	-0.69674893526009	0.11458558852299
22.834000000000	-0.69625636574950	0.11834300840410
22.840000000000	-0.69574356211524	0.12209731276020
22.846000000000	-0.69521054983042	0.12584839397624
22.852000000000	-0.69465735492255	0.12959614466478
22.858000000000	-0.69408400397152	0.13334045766850
22.864000000000	-0.69349052410750	0.13708122606267
22.870000000000	-0.69287694300895	0.14081834315762
22.876000000000	-0.69224328890045	0.14455170250126
22.882000000000	-0.69158959055074	0.14828119788145
22.888000000000	-0.69091587727055	0.15200672332847
22.894000000000	-0.69022217891057	0.15572817311742
22.900000000000	-0.68950852585935	0.15944544177061
22.906000000000	-0.68877494904121	0.16315842405992
22.912000000000	-0.68802147991411	0.16686701500919
22.918000000000	-0.68724815046761	0.17057110989656
22.924000000000	-0.68645499322071	0.17427060425675
22.930000000000	-0.68564204121975	0.17796539388343
22.936000000000	-0.68480932803632	0.18165537483148
22.942000000000	-0.68395688776510	0.18534044341928
22.948000000000	-0.68308475502178	0.18902049623095
22.954000000000	-0.68219296494090	0.19269543011864
22.960000000000	-0.68128155317372	0.19636514220472
22.966000000000	-0.68035055588608	0.20002952988399
22.972000000000	-0.67940000975630	0.20368849082591
22.978000000000	-0.67842995197299	0.20734192297678
22.984000000000	-0.67744042023290	0.21098972456187
22.990000000000	-0.67643145273882	0.21463179408759
22.996000000000	-0.67540308819738	0.21826803034367
23.002000000000	-0.67435536581688	0.22189833240519
23.008000000000	-0.67328832530518	0.22552259963478
23.014000000000	-0.67220200686750	0.22914073168465
23.020000000000	-0.67109645120426	0.23275262849866
23.026000000000	-0.66997169950891	0.23635819031445
23.032000000000	-0.66882779346573	0.23995731766540
23.038000000000	-0.66766477524772	0.24354991138271
